item,itemLabel,startDate,endDate,position
Q957749,John Marshall Harlan II,1955-03-28,1971-09-23,AssociateJustice
Q717401,William J. Brennan Jr.,1956-10-16,1990-07-20,AssociateJustice
Q1064300,Charles Evans Whittaker,1957-03-25,1962-03-31,AssociateJustice
Q1359993,Potter Stewart,1958-10-14,1981-07-03,AssociateJustice
Q958904,Byron White,1962-04-16,1993-06-28,AssociateJustice
Q709513,Arthur Goldberg,1962-10-01,1965-07-25,AssociateJustice
Q318143,Abe Fortas,1965-10-04,1969-05-14,AssociateJustice
Q312348,Thurgood Marshall,1967-10-02,1991-10-01,AssociateJustice
Q1323255,Harry Blackmun,1970-06-09,1994-08-03,AssociateJustice
Q252739,Lewis F. Powell Jr.,1972-01-07,1987-06-26,AssociateJustice
Q311562,William Rehnquist,1972-01-07,1986-09-26,AssociateJustice
Q11109,John Paul Stevens,1975-12-19,2010-06-29,AssociateJustice
Q11132,Sandra Day O'Connor,1981-09-25,2006-01-31,AssociateJustice
Q11156,Antonin Scalia,1986-09-26,2016-02-13,AssociateJustice
Q11171,Anthony Kennedy,1988-02-18,2018-07-31,AssociateJustice
Q472547,David Souter,1990-10-09,2009-06-29,AssociateJustice
Q11142,Clarence Thomas,1991-10-23,,AssociateJustice
Q11116,Ruth Bader Ginsburg,1993-08-10,2020-09-18,AssociateJustice
Q11124,Stephen Breyer,1994-08-03,,AssociateJustice
Q11138,Samuel Alito,2006-01-31,,AssociateJustice
Q11107,Sonia Sotomayor,2009-08-08,,AssociateJustice
Q11105,Elena Kagan,2010-08-07,,AssociateJustice
Q15488345,Neil Gorsuch,2017-04-10,,AssociateJustice
Q4962244,Brett Kavanaugh,2018-10-06,,AssociateJustice
Q29863844,Amy Coney Barrett,2020-10-27,,AssociateJustice
